index,name,price,condition,posted_date,url
25,★極美品 Barbour 秋冬春 デニム風 BEAMS別注ハンティングジャケット,25500.0,未使用に近い,4時間前,https://jp.mercari.com/item/m26383282252
152,babour バブアー ビデイルSL beams別注モデル,22800.0,目立った傷や汚れなし,5日前,https://jp.mercari.com/item/m67603606396
192,Barbour バブアー クラシックビデイル オイルドジャケット　カバーオール,22580.0,目立った傷や汚れなし,1日前,https://jp.mercari.com/item/m64444455311
264,90s Barbour Bedale バブアー ビデイル オイルドジャケット,22590.0,目立った傷や汚れなし,14日前,https://jp.mercari.com/item/m90040021440
385,バブアー　フーディッドビデイルＳＬ　36 フードあり,22500.0,目立った傷や汚れなし,3日前,https://jp.mercari.com/item/m50009262816
581,SOPHNET. x Barbour BEDALE SL,32000.0,新品、未使用,2か月前,https://jp.mercari.com/item/m42726766237
901,BEAMS別注Barbour hooded bedale バブアービデイル,22500.0,目立った傷や汚れなし,1か月前,https://jp.mercari.com/item/m72984276880
