index,name,price,condition,posted_date,url,outlier_flag
46,エラー,,エラー,日付情報なし,https://jp.mercari.com/shops/product/MHEtpydqYZUfio6BWV6Fsd,False
47,アークテリクス　アトム　LT フーディ　ブルーグリーン,16500.0,やや傷や汚れあり,2か月前,https://jp.mercari.com/item/m49080796300,False
48,アークテリクス　アトムLTフーディー　サイズS,14750.0,傷や汚れあり,2か月前,https://jp.mercari.com/item/m46937506699,False
49,【美品】アークテリクス アトムLTフーディー / M / ブラックサファイア,39800.0,未使用に近い,9日前,https://jp.mercari.com/item/m93056472403,False
50,ARC'TERYX アークテリクス アトム LT フーディ,34000.0,未使用に近い,1か月前,https://jp.mercari.com/item/m38121340234,False
51,エラー,,エラー,日付情報なし,https://jp.mercari.com/item/m42292028996,False
52,"ARC'TERYX ""廃盤モデル"" ノディンジャケット Lサイズ ブラック",28500.0,新品、未使用,4か月前,https://jp.mercari.com/item/m81267244738,False
53,ARC'TERYX x BEAMS別注 Atom LT Hoody ビームス,37050.0,やや傷や汚れあり,4か月前,https://jp.mercari.com/item/m82719786739,True
54,当選品　アークテリクス アトム AR ジャケット ベビーウェイトジャケット,36000.0,目立った傷や汚れなし,5か月前,https://jp.mercari.com/item/m93225183743,False
55,アークテリクス GAMMA SLフーディ S,20500.0,やや傷や汚れあり,5か月前,https://jp.mercari.com/item/m38812851075,False
56,新品 アークテリクス アトム フーディ M kingfisher ネイビー,44000.0,新品、未使用,13日前,https://jp.mercari.com/item/m71595091986,False
57,アークテリクス　スコーミッシュジャケット,28900.0,新品、未使用,5か月前,https://jp.mercari.com/item/m72352421156,False
58,アークテリクス　アトムLTフーディ　atom lt hoody ドラセナ 刺繍,30000.0,目立った傷や汚れなし,5か月前,https://jp.mercari.com/item/m93084341763,False
59,アークテリクス　ガンマ SL　フーディ― 旧型　ライトウェイト GAMMA SL,28000.0,目立った傷や汚れなし,半年以上前,https://jp.mercari.com/item/m11265192799,False
60,アークテリクス arc'teryx アトムLT atom フーディ Mサイズ,31300.0,目立った傷や汚れなし,半年以上前,https://jp.mercari.com/item/m64237861820,False
61,アークテリクス　アトムフーディ　Mサイズ,29000.0,目立った傷や汚れなし,半年以上前,https://jp.mercari.com/item/m79010724241,False
62,アークテリクス ガンマ ライトウェイトジャケット,24000.0,目立った傷や汚れなし,半年以上前,https://jp.mercari.com/item/m87682843806,False
63,"ARC'TERYX ""廃盤モデル"" ノディンジャケット Lサイズ ブラック",28000.0,目立った傷や汚れなし,半年以上前,https://jp.mercari.com/item/m38880237380,False
64,【廃盤品】アークテリクス GANMA SLフーディ XS,27360.0,未使用に近い,半年以上前,https://jp.mercari.com/item/m48952664898,False
65,エラー,,エラー,日付情報なし,https://jp.mercari.com/item/m14112247401,False
66,arc’teryx atom lt メンズ S 黒,12000.0,傷や汚れあり,半年以上前,https://jp.mercari.com/item/m87361294027,False
67,エラー,,エラー,日付情報なし,https://jp.mercari.com/item/m62189115982,False
68,エラー,,エラー,日付情報なし,https://jp.mercari.com/item/m72955607913,False
69,【新品/ショッパー付】ARC'TERYX Beta LT JACKET Lサイズ,76000.0,新品、未使用,半年以上前,https://jp.mercari.com/item/m59424555360,True
70,ほぼ新品! アークテリクス アトムLTフーディー Lサイズ,37000.0,未使用に近い,半年以上前,https://jp.mercari.com/item/m72409852310,False
71,新品　アークテリクス ATOM LT Hoody Lサイズ　ATOMFOODY,39000.0,新品、未使用,半年以上前,https://jp.mercari.com/item/m17934622244,False
72,アークテリクス アトムltフーディ,32000.0,目立った傷や汚れなし,半年以上前,https://jp.mercari.com/item/m57544787661,False
73,ARC'TERYX x BEAMS別注 Atom LT Hoody,33000.0,目立った傷や汚れなし,半年以上前,https://jp.mercari.com/item/m44243759678,False
74,arcteryx atom lt hoody ブラック　アークテリクス　アトム,26500.0,やや傷や汚れあり,半年以上前,https://jp.mercari.com/item/m28737724200,False
75,アークテリクス Atom Lt Hoody M size,26000.0,やや傷や汚れあり,半年以上前,https://jp.mercari.com/item/m44871139820,False
76,"""専用""アークテリクスアトムLTフーディー",35500.0,目立った傷や汚れなし,半年以上前,https://jp.mercari.com/item/m69871571916,False
77,アークテリクス　アトム　LT フーディー,22000.0,目立った傷や汚れなし,半年以上前,https://jp.mercari.com/item/m22133349931,False
78,【アークテリクス】アトムLTフーディ ビームス別注2022,35500.0,未使用に近い,半年以上前,https://jp.mercari.com/item/m83944588195,False
79,アークテリクス アトムフーディ　ATOM LT HOODIE,18500.0,やや傷や汚れあり,半年以上前,https://jp.mercari.com/item/m34991998172,False
80,Atom LT Hoody S　新品未使用品★正規品　アークテリクス,46000.0,新品、未使用,半年以上前,https://jp.mercari.com/item/m47275760865,False
81,アークテリクス　ATOM LT HOODY XS,18800.0,やや傷や汚れあり,半年以上前,https://jp.mercari.com/item/m79623411659,False
82,アークテリクス オールド アトム LT フーディー L グレー オレンジ,17532.0,やや傷や汚れあり,半年以上前,https://jp.mercari.com/item/m82750463031,False
83,アークテリクス　新品　アトムLTフーディ　M,45700.0,新品、未使用,半年以上前,https://jp.mercari.com/item/m97111015282,False
84,アークテリクス　アトムLTフーディ,28000.0,目立った傷や汚れなし,半年以上前,https://jp.mercari.com/item/m69179246269,False
85,新品 ARC’TERYX アークテリクス Atom Hoody アトム フーディ,44000.0,新品、未使用,半年以上前,https://jp.mercari.com/item/m94649969324,False
86,アークテリクス アトムAR フーディ,39800.0,目立った傷や汚れなし,1か月前,https://jp.mercari.com/item/m36900885633,False
87,ARC'TERYX アークテリクス ATOM LT HOODY XXL ブラック,33000.0,新品、未使用,半年以上前,https://jp.mercari.com/item/m88487070001,False
88,★ARC'TERYX Atom SL Hoody Men's Lサイズ,21800.0,傷や汚れあり,半年以上前,https://jp.mercari.com/item/m61223773044,False
89,アークテリクス ARCTERYX スコーミッシュフーディ メンズ　M,18000.0,目立った傷や汚れなし,半年以上前,https://jp.mercari.com/item/m16801995121,False
90,シマノ　アクティブインシュレーションジャケットフーディ,3500.0,目立った傷や汚れなし,半年以上前,https://jp.mercari.com/item/m33200300582,True
91,美品 L 希少ブラック プロトンLTフーディ アークテリクス,35800.0,目立った傷や汚れなし,半年以上前,https://jp.mercari.com/item/m70834990944,False
92,アークテリクス アトムフーディ　ブラック　XS,35500.0,新品、未使用,半年以上前,https://jp.mercari.com/item/m25094642139,False
93,ARC'TERYX ATOM LT HOODY,20000.0,目立った傷や汚れなし,半年以上前,https://jp.mercari.com/item/m25747035707,False
94,BBB様ご購入専用ページ アトムLTフーディーM　Caribou,32000.0,新品、未使用,半年以上前,https://jp.mercari.com/item/m49671845536,False
95,新品　アークテリクス アトムフーディ　ブラック　S,45000.0,新品、未使用,半年以上前,https://jp.mercari.com/item/m79101813698,False
96,アークテリクス アトムLT フーディー Sサイズ,22000.0,やや傷や汚れあり,半年以上前,https://jp.mercari.com/item/m56194364072,False
97,アークテリクス アトム LTフーディ Sサイズ,30000.0,目立った傷や汚れなし,半年以上前,https://jp.mercari.com/item/m41872249014,False
98,アークテリクス アトムLTフーディ,16000.0,傷や汚れあり,半年以上前,https://jp.mercari.com/item/m52839796179,False
99,アークテリクスAtom Heavyweight Hoody XL,53000.0,新品、未使用,半年以上前,https://jp.mercari.com/item/m54970470475,False
100,アークテリクス ATOM HOODY アトム　フーディ　メンズ,33250.0,未使用に近い,半年以上前,https://jp.mercari.com/item/m94389656818,False
101,アークテリクス　アトム　LT フーディ　XS,30000.0,目立った傷や汚れなし,半年以上前,https://jp.mercari.com/item/m26067021014,False
102,ARC’TERYX アトムLTフーディ(アトムフーディ),43000.0,未使用に近い,半年以上前,https://jp.mercari.com/item/m83432232750,True
103,アークテリクス アトムltフーディー,33800.0,未使用に近い,半年以上前,https://jp.mercari.com/item/m59923046642,False
104,美品　アークテリクス　Atom LT フーディ　黒　M,24500.0,目立った傷や汚れなし,半年以上前,https://jp.mercari.com/item/m94421379981,False
105,ARC'TERYX アークテリクス アトムLT フーディ メンズ Sサイズ,16500.0,目立った傷や汚れなし,半年以上前,https://jp.mercari.com/item/m85540767245,False
106,エラー,,エラー,日付情報なし,https://jp.mercari.com/item/m82208177627,False
107,エラー,,エラー,日付情報なし,https://jp.mercari.com/shops/product/sKikcsFPtcLqQxswYbN2WT,False
108,ARC'TERYX Atom LT hoody アークテリクス　アトム　黒,28000.0,目立った傷や汚れなし,半年以上前,https://jp.mercari.com/item/m61057244297,False
109,アークテリクス　アトムLTフーディ Mサイズ 送料無料,20000.0,傷や汚れあり,半年以上前,https://jp.mercari.com/item/m26436081124,False
