割合,新品、未使用,未使用に近い,目立った傷や汚れなし,やや傷や汚れあり,傷や汚れあり,全体的に状態が悪い,エラー
20%,27200,21528,19200,12000,8400,3800,0
25%,25500,20182,18000,11250,7875,3562,0
30%,23800,18837,16800,10500,7350,3325,0
35%,22100,17492,15600,9750,6825,3088,0
40%,20400,16146,14400,9000,6300,2850,0
