割合,新品、未使用,未使用に近い,目立った傷や汚れなし,やや傷や汚れあり,傷や汚れあり,全体的に状態が悪い,エラー
2%,7840,53900,61250,98000,96530,11760,0
3%,7760,53350,60625,97000,95545,11640,0
5%,7600,52250,59375,95000,93575,11400,0
10%,7200,49500,56250,90000,88650,10800,0
15%,6800,46750,53125,85000,83725,10200,0
