割合,新品、未使用,未使用に近い,目立った傷や汚れなし,やや傷や汚れあり,傷や汚れあり,全体的に状態が悪い,エラー
20%,624,24800,15840,11400,12000,8800,0
25%,585,23250,14850,10688,11250,8250,0
30%,546,21700,13860,9975,10500,7700,0
35%,507,20150,12870,9262,9750,7150,0
40%,468,18600,11880,8550,9000,6600,0
