index,name,price,condition,posted_date,url
47,Barbour x A BATHING APE バブアー x エイプ,"39,000",新品、未使用,9時間前,https://jp.mercari.com/item/m23142660308
48,Barbour×TOMORROWLAND CLASSIC BEDALE 36,"65,500",未使用に近い,9時間前,https://jp.mercari.com/item/m29475575090
49,Barbour JOURNAL STANDARD relume別注 Bedale,"42,000",目立った傷や汚れなし,9時間前,https://jp.mercari.com/item/m68016391005
50,【Barbour 】バブアー Hooded Bedale サイズL（40）,"22,000",目立った傷や汚れなし,9時間前,https://jp.mercari.com/item/m42289295035
51,《美品》 Barbour CLASSIC BEDALE MWX0010 40,"53,180",未使用に近い,9時間前,https://jp.mercari.com/item/m46812865342
52,Barbour 別注 OLD BEDALE LIMONTA 40,"42,000",目立った傷や汚れなし,7時間前,https://jp.mercari.com/item/m42631608542
53,80’S Jan Adam Coutrywear 英国製 オイルドジャケット,"9,000",傷や汚れあり,10時間前,https://jp.mercari.com/item/m63341156611
54,希少)beamF別注barbour ソラーロ 玉虫色 クラシックフィット,"47,300",未使用に近い,10時間前,https://jp.mercari.com/item/m34188769765
55,Barbour バブアー BEDALE ビデイル,"16,200",やや傷や汚れあり,10時間前,https://jp.mercari.com/item/m12196774442
56,Barbour × BEAMS PLUS / 別注 BEDALE,"39,800",未使用に近い,10時間前,https://jp.mercari.com/item/m80534909009
57,BARBOUR 【BEDALE / ビデイル】ワックス コットン ブルゾン,"48,000",新品、未使用,4時間前,https://jp.mercari.com/item/m53807197334
58,Barbour BORDER C40/127 リプルーフ済,"12,800",やや傷や汚れあり,4時間前,https://jp.mercari.com/item/m34949389497
59,Barbour バブアー SL ビデイル サイズ40 茶色,"23,400",やや傷や汚れあり,11時間前,https://jp.mercari.com/item/m48497159970
60,BARBOUR BEDALE バブアービデイル,"40,000",目立った傷や汚れなし,19日前,https://jp.mercari.com/item/m30655071531
61,80s Barbour bedale　c40　バブアー　ビデイル　　 2クラウン,"52,100",目立った傷や汚れなし,11時間前,https://jp.mercari.com/item/m66799352816
62,ほぼデッドストック◎c34　Barbour bedale 2ワラント,"65,600",未使用に近い,11時間前,https://jp.mercari.com/item/m94375627832
63,Deadstock Barbour Bedale c34　ネイビーデッドストック,"71,800",新品、未使用,11時間前,https://jp.mercari.com/item/m48403510661
64,60s 70s Barbour　バブアー　フード　黄タグ　ゴールドタグ,"23,000",やや傷や汚れあり,12時間前,https://jp.mercari.com/item/m65094615779
65,Barbour バブアー 38 ビデイル SL 英国製 オリーブ オイル,"23,000",目立った傷や汚れなし,12時間前,https://jp.mercari.com/item/m19286099681
66,Barbour BEDALE ワックスコットンジャケット 40 2022年購入品,"42,600",目立った傷や汚れなし,12時間前,https://jp.mercari.com/item/m85386703503
67,Barbour バブアー ビデイル BEDALE ワックスコットン ジャケット,"21,000",傷や汚れあり,12時間前,https://jp.mercari.com/item/m59920728881
68,80s Barbour bedale c42　バブアー　ビデイル セージ,"51,700",目立った傷や汚れなし,11日前,https://jp.mercari.com/item/m31476286255
69,80s Barbour bedale　　バブアー　ビデイル　　c36,"50,500",目立った傷や汚れなし,12時間前,https://jp.mercari.com/item/m49063843820
70,美品　Babour BEDALE バブアー　ビデイル　オイルド　定価53900円,"28,799",やや傷や汚れあり,12時間前,https://jp.mercari.com/item/m82855708913
71,Noah x Barbour Dry Waxed Bedale Jacket,"75,000",目立った傷や汚れなし,8時間前,https://jp.mercari.com/item/m10221162715
72,80s Barbour bedale　c40　バブアー　ビデイル　ターコイズ,"62,700",目立った傷や汚れなし,12時間前,https://jp.mercari.com/item/m24750493680
73,Barbour SL BEDALE バブアー ビデイル SL 36セージ,"22,000",目立った傷や汚れなし,12時間前,https://jp.mercari.com/item/m70089999932
74,Barbour BEDALE バブアー ビデイル 36 ブラック,"25,000",やや傷や汚れあり,12時間前,https://jp.mercari.com/item/m49885784683
75,エラー,エラー,エラー,日付情報なし,https://jp.mercari.com/shops/product/ATPCF6ghQi5nD4Ra6385iG
76,69800→,"69,600",未使用に近い,12時間前,https://jp.mercari.com/item/m39919016271
77,バブアー　ビデイル,"31,800",未使用に近い,12時間前,https://jp.mercari.com/item/m33269608856
78,barbour バブアー　BEDALE SL サイズ 34,"21,200",やや傷や汚れあり,1時間前,https://jp.mercari.com/item/m78578431470
79,Barbour BEDALE SL 38インチ　ジャケット,"14,000",やや傷や汚れあり,33分前,https://jp.mercari.com/item/m19282378342
80,バブアー オイルドジャケット ジップアップ コーデュロイ コットン 38 M 黒,"25,980",目立った傷や汚れなし,5時間前,https://jp.mercari.com/item/m95806579894
81,Barbour バブアー　BEDALE BLACK 40 ビデイル,"45,700",新品、未使用,13時間前,https://jp.mercari.com/item/m64741103827
82,barbour bedale sl バブアー ビデイル カモ柄 迷彩柄,"12,750",目立った傷や汚れなし,1時間前,https://jp.mercari.com/item/m19716240522
83,バブアー × アンドワンダー バブアーアンドワンダー3L ジャケット L,"55,700",新品、未使用,13時間前,https://jp.mercari.com/item/m90733857254
84,バブアーウォッシュドビデイルBarbour BEDALE ウォッシュド 36M,"36,000",やや傷や汚れあり,14時間前,https://jp.mercari.com/item/m73899200885
85,バブアー ビデイル 36 ノンワックス ノンオイル,"33,000",目立った傷や汚れなし,14時間前,https://jp.mercari.com/item/m20691141920
86,80's BEDALE 1982~87model,"48,900",やや傷や汚れあり,14時間前,https://jp.mercari.com/item/m46255669254
87,新品　Barbourバブアー BEDALEビデイル MWX0018 ブラック38,"49,100",新品、未使用,14時間前,https://jp.mercari.com/item/m67422225762
88,新品　Barbourバブアー BEDALEビデイル MWX0018 セージ36,"49,100",新品、未使用,14時間前,https://jp.mercari.com/item/m13934438382
89,【希少1ワラント】〜80s バブアー ビデイル 4ポケット セージ 40,"48,000",傷や汚れあり,15時間前,https://jp.mercari.com/item/m80790073523
90,美品　Barbour BEDALE ２レイヤー　2023AW　定価52800円,"30,900",未使用に近い,15時間前,https://jp.mercari.com/item/m34673803755
