index,name,price,condition,posted_date,url
1,AQUOS sense5G オリーブシルバー 64 GB SIMロック解除済み,"8,380",やや傷や汚れあり,1日前,https://jp.mercari.com/item/m95439426783
2,【SIMフリー】AQUOS sense 8 SH-M26　美品　フィルム　ケース,"43,999",目立った傷や汚れなし,6時間前,https://jp.mercari.com/item/m52685243156
3,AQUOS sense4 lite 楽天版SIMフリー SH-RM15 完動品,"12,999",目立った傷や汚れなし,1か月前,https://jp.mercari.com/item/m66130034102
4,AQUOS sense4 lite,"25,000",新品、未使用,2か月前,https://jp.mercari.com/item/m19190064337
5,エラー,エラー,エラー,日付情報なし,https://jp.mercari.com/shops/product/o9JNVaZfZCkDr6B2K28Y3S
6,エラー,エラー,エラー,日付情報なし,https://jp.mercari.com/shops/product/sz6ADw3CcyEDdbY5BkfSrk
7,エラー,エラー,エラー,日付情報なし,https://jp.mercari.com/shops/product/9A4vZfubF6Hg8SS7evgTSB
8,エラー,エラー,エラー,日付情報なし,https://jp.mercari.com/shops/product/6MWnuPzv5kYYWG3gsnMV3n
9,エラー,エラー,エラー,日付情報なし,https://jp.mercari.com/shops/product/yeWAEPnCHK4ghRepshRFPm
10,エラー,エラー,エラー,日付情報なし,https://jp.mercari.com/shops/product/yLXEguLEsriHN7W8MtQNib
11,エラー,エラー,エラー,日付情報なし,https://jp.mercari.com/shops/product/BnLdXbUeaWZq6P7jXrqgpi
12,エラー,エラー,エラー,日付情報なし,https://jp.mercari.com/shops/product/8nPrMQT5AJgCen9xNr5sXF
13,エラー,エラー,エラー,日付情報なし,https://jp.mercari.com/shops/product/QK3mVeWkVn4tJfoXDTbrBQ
14,エラー,エラー,エラー,日付情報なし,https://jp.mercari.com/shops/product/QY88fMZ58fbkyM2L6Z63TB
15,エラー,エラー,エラー,日付情報なし,https://jp.mercari.com/shops/product/wukFDvhCgFhkz4bADhWfLX
16,エラー,エラー,エラー,日付情報なし,https://jp.mercari.com/shops/product/5EvTnYpjzpoymHcit3zRsk
17,エラー,エラー,エラー,日付情報なし,https://jp.mercari.com/shops/product/3VkTBWPo9bN2Npa5LxLJDk
18,エラー,エラー,エラー,日付情報なし,https://jp.mercari.com/shops/product/bwK6vC2szRhFSfZui8YDqe
19,エラー,エラー,エラー,日付情報なし,https://jp.mercari.com/shops/product/x8EJCQo2NHJBH2nsitkfY
20,エラー,エラー,エラー,日付情報なし,https://jp.mercari.com/shops/product/REfAABx5mudkEVA4dLAvu4
21,AQUOS sense8 クリアケース＋画面保護フィルムセット,990,新品、未使用,8分前,https://jp.mercari.com/item/m83037867186
22,AQUOS sense8 クリアケース,490,新品、未使用,8分前,https://jp.mercari.com/item/m98010580589
23,エラー,エラー,エラー,日付情報なし,https://jp.mercari.com/shops/product/kDsCxbZsW46s3r4r9dSvkV
24,エラー,エラー,エラー,日付情報なし,https://jp.mercari.com/shops/product/bhitYoUN4pK2V4W9rtwkWo
25,AQUOS Sense 3 手帳型 ケース レッド 赤 猫 /568,800,新品、未使用,58分前,https://jp.mercari.com/item/m42294406243
26,2+2枚セット AQUOS Sense7 Plus 画面 カメラ 保護フィルム,"1,019",新品、未使用,1時間前,https://jp.mercari.com/item/m93046345826
27,AQUOS Sense2 手帳型 ケース レッド 赤 猫/292,"1,200",新品、未使用,1時間前,https://jp.mercari.com/item/m30754923577
28,SHARP AQUOS sense4 plus 8GB/128GB a3035,"11,000",傷や汚れあり,1時間前,https://jp.mercari.com/item/m28465984989
29,⭐️新品⭐️ スマホケース カード収納 カバー ねこ AQUOS Sense8,"1,800",新品、未使用,26分前,https://jp.mercari.com/item/m85774248796
30,AQUOS sense8ケース手帳型ケース Sense8高級レザー素材 レザー,"1,858",未使用に近い,1時間前,https://jp.mercari.com/item/m38345026525
31,AQUOS sense8 ケース 手帳型 SH-54D スマホケース 水色,987,未使用に近い,1時間前,https://jp.mercari.com/item/m30735268834
32,エラー,エラー,エラー,日付情報なし,https://jp.mercari.com/shops/product/hmNMXSECeuGd7GR7YGUL75
33,Aquos Sense 6 用 ガラスフィルム 2枚入 カメラフィルム 2枚入,550,新品、未使用,1時間前,https://jp.mercari.com/item/m58086080167
34,エラー,エラー,エラー,日付情報なし,https://jp.mercari.com/shops/product/WDDurhf4a5DEQT45FAQE2G
35,エラー,エラー,エラー,日付情報なし,https://jp.mercari.com/shops/product/fB6Lbo4j2hxXLsUGVnRCbm
36,AQUOS Sense6 ケース 手帳型 高級PU レザー スタンド機能 赤,"1,244",新品、未使用,2時間前,https://jp.mercari.com/item/m44402776182
37,エラー,エラー,エラー,日付情報なし,https://jp.mercari.com/shops/product/4fvSEgKZPiBXPzhi6CwQiD
38,エラー,エラー,エラー,日付情報なし,https://jp.mercari.com/shops/product/KjEfbPsmS93W4bxFFvYiPZ
