index,name,price,condition,posted_date,url,outlier_flag
1,Barbour Bedale 38 made in UK,22500,未使用に近い,4時間前,https://jp.mercari.com/item/m30837540086,False
2,Barbour BEAMS BEDALE 2Layer Classic Fit,45500,新品、未使用,9時間前,https://jp.mercari.com/item/m94413695518,False
3,バブアー　別注　ビデイル　ウール　カシミヤ混　キャメル　ジャケット,44000,目立った傷や汚れなし,2時間前,https://jp.mercari.com/item/m59202156194,False
4,Barbour bedale sl ビデイル フードモデル 38,14250,傷や汚れあり,1日前,https://jp.mercari.com/item/m43056215280,False
5,Barbour for MARKAWARE&EDIFICE 別注 BEDALE,66000,目立った傷や汚れなし,1日前,https://jp.mercari.com/item/m40712049126,False
