index,name,price,condition,posted_date,url
1,ラクダ様専用　[美品] 　バブアー　スペイ　Bshop別注,"25,000",目立った傷や汚れなし,1時間前,https://jp.mercari.com/item/m28953680950
2,Barbour BEDALE ビデイル　キルティング,"22,000",目立った傷や汚れなし,2時間前,https://jp.mercari.com/item/m33351128580
3,Barbour バブアー SL BEDALE ブラウン 38 UK製,"15,960",目立った傷や汚れなし,2時間前,https://jp.mercari.com/item/m15168660878
4,エラー,エラー,エラー,日付情報なし,https://jp.mercari.com/shops/product/CUfx87G7tz8JMxU6uKvVUG
5,Barbour × BEAMS F 別注 CLASSIC BEDALピーチスキン,"26,999",やや傷や汚れあり,1時間前,https://jp.mercari.com/item/m91747245526
6,エラー,エラー,エラー,日付情報なし,https://jp.mercari.com/item/m20874338397
7,sun様　Barbour BEDALE SL 36 英国製,"22,000",やや傷や汚れあり,20時間前,https://jp.mercari.com/item/m55315056888
8,【美品】　BARBOUR BEDALE セージ　36,"24,000",目立った傷や汚れなし,18時間前,https://jp.mercari.com/item/m75273534059
9,エラー,エラー,エラー,日付情報なし,https://jp.mercari.com/item/m22065778588
10,バブアー ビデイル Barbour Bedale Wax Jacket 黒 38,"35,000",新品、未使用,1日前,https://jp.mercari.com/item/m65629790784
11,Barbour × BEAMS F / 別注BEDALE-F オイルドジャケット,"30,000",目立った傷や汚れなし,7時間前,https://jp.mercari.com/item/m60521609802
12,エラー,エラー,エラー,日付情報なし,https://jp.mercari.com/item/m79274751578
13,Barbour x BEAMS PLUS/別注 BEDALE バブアー,"22,780",目立った傷や汚れなし,2時間前,https://jp.mercari.com/item/m60718814602
14,APTEMIS様専用バブアー　BEDALE ビデイル 黒40ピーチスキン,"32,000",新品、未使用,1日前,https://jp.mercari.com/item/m43599100685
15,大幅値下げ中　Barbour バブアー ダウン フィールド ビデール ジャケット,"25,000",目立った傷や汚れなし,15時間前,https://jp.mercari.com/item/m67387082289
16,Barbour bedale 90s,"19,700",やや傷や汚れあり,1日前,https://jp.mercari.com/item/m96395785665
17,Noah x Barbour Camo Bedale Jacket,"64,444",新品、未使用,17時間前,https://jp.mercari.com/item/m44506263848
18,Barbour Bedale 38 made in UK,"22,500",未使用に近い,1日前,https://jp.mercari.com/item/m30837540086
