index,name,price,condition,posted_date,url
1,Barbour Bedale 38 made in UK,"22,500",未使用に近い,2時間前,https://jp.mercari.com/item/m30837540086
2,Barbour BEAMS BEDALE 2Layer Classic Fit,"45,500",新品、未使用,5時間前,https://jp.mercari.com/item/m94413695518
3,バブアー　別注　ビデイル　ウール　カシミヤ混　キャメル　ジャケット,"44,000",目立った傷や汚れなし,1時間前,https://jp.mercari.com/item/m59202156194
4,Barbour bedale sl ビデイル フードモデル 38,"14,250",傷や汚れあり,6時間前,https://jp.mercari.com/item/m43056215280
5,Barbour for MARKAWARE&EDIFICE 別注 BEDALE,"66,000",目立った傷や汚れなし,4時間前,https://jp.mercari.com/item/m40712049126
