割合,新品、未使用,未使用に近い,目立った傷や汚れなし,やや傷や汚れあり,傷や汚れあり,全体的に状態が悪い,エラー
2%,42581,33957,28420,18424,15068,6860,0
5%,41278,32918,27550,17860,14606,6650,0
10%,39105,31185,26100,16920,13838,6300,0
15%,36932,29452,24650,15980,13069,5950,0
25%,32588,25988,21750,14100,11531,5250,0
