割合,新品、未使用,未使用に近い,目立った傷や汚れなし,やや傷や汚れあり,傷や汚れあり,全体的に状態が悪い,エラー
2%,60760,44100,28420,22442,16660,11760,0
5%,58900,42750,27550,21755,16150,11400,0
10%,55800,40500,26100,20610,15300,10800,0
15%,52700,38250,24650,19465,14450,10200,0
20%,49600,36000,23200,18320,13600,9600,0
