割合,新品、未使用,未使用に近い,目立った傷や汚れなし,やや傷や汚れあり,傷や汚れあり,全体的に状態が悪い,エラー
5%,32300,25564,22800,14250,9975,4512,0
10%,30600,24219,21600,13500,9450,4275,0
15%,28900,22874,20400,12750,8925,4038,0
20%,27200,21528,19200,12000,8400,3800,0
25%,25500,20182,18000,11250,7875,3562,0
