割合,新品、未使用,未使用に近い,目立った傷や汚れなし,やや傷や汚れあり,傷や汚れあり,全体的に状態が悪い,エラー
2%,56350,42303,35280,36946,0,0,0
5%,54625,41008,34200,35815,0,0,0
10%,51750,38850,32400,33930,0,0,0
15%,48875,36692,30600,32045,0,0,0
20%,46000,34533,28800,30160,0,0,0
