割合,新品、未使用,未使用に近い,目立った傷や汚れなし,やや傷や汚れあり,傷や汚れあり,全体的に状態が悪い,エラー
2%,26460,21560,19600,18375,12740,0,0
10%,24300,19800,18000,16875,11700,0,0
15%,22950,18700,17000,15938,11050,0,0
20%,21600,17600,16000,15000,10400,0,0
25%,20250,16500,15000,14062,9750,0,0
