割合,新品、未使用,未使用に近い,目立った傷や汚れなし,やや傷や汚れあり,傷や汚れあり,全体的に状態が悪い,エラー
2%,75841,66640,61642,58800,58800,0,0
5%,73519,64600,59755,57000,57000,0,0
10%,69650,61200,56610,54000,54000,0,0
15%,65780,57800,53465,51000,51000,0,0
25%,58041,51000,47175,45000,45000,0,0
