割合,新品、未使用,未使用に近い,目立った傷や汚れなし,やや傷や汚れあり,傷や汚れあり,全体的に状態が悪い,エラー
2%,764,30380,19404,13965,14700,10780,0
3%,757,30070,19206,13822,14550,10670,0
5%,741,29450,18810,13538,14250,10450,0
10%,702,27900,17820,12825,13500,9900,0
15%,663,26350,16830,12112,12750,9350,0
